job,skill
Vb.Net Developer,.NET Programming SQL SQL Server Microsoft C# ASP Communication Skills Software Development JavaScript Visual Basic for Applications (VBA) Visual Studio Software Development JavaScript Python jQuery Web Development Problem Solving Troubleshooting Planning Web Development Debugging Communication Skills Writing Problem Solving Planning Web Development
.NET Developer / Engineer,.NET Programming Microsoft C# SQL ASP JavaScript SQL Server Software Development jQuery Communication Skills Web Development Software Development JavaScript Python jQuery Web Development Problem Solving Troubleshooting Planning Web Development Debugging Communication Skills Writing Problem Solving Planning Web Development
Academic / Guidance Counselor ,Communication Skills Academic Advisement Writing Planning Teaching Team Work/ Collaboration Microsoft Office Organizational Skills Scheduling Academic Counseling Teaching Customer Service Psychology Case Management Mental Health Teaching Scheduling Customer Service Supervisory Skills Case Management
Account Executive ,Sales Communication Skills Building Effective Relationships Prospecting Presentation Skills Organizational Skills Writing Customer Service Business Development Team Work/ Collaboration Sales Prospecting Presentation Skills Sales Goals Account Management Prospecting Account Management Outside Sales Customer Contact Prospective Clients
Account Manager / Representative ,Communication Skills Sales Customer Service Building Effective Relationships Writing Account Management Organizational Skills Microsoft Excel Customer Contact Problem Solving Sales Account Management Presentation Skills Product Sales Time Management Account Management Customer Contact Product Sales Outside Sales Prospective Clients
Accountant,Accounting Microsoft Excel Account Reconciliation General Ledger Communication Skills Financial Statements Budgeting Financial Reporting Generally Accepted Accounting Principles (GAAP) Detail-Oriented Accounting Account Reconciliation General Ledger Financial Statements Financial Reporting Microsoft Excel Microsoft Office Spreadsheets Data Entry Pivot Tables Microsoft Excel Microsoft Office Spreadsheets Data Entry Pivot Tables
Accountant (General),Accounting Microsoft Excel General Ledger Account Reconciliation Communication Skills Financial Statements Detail-Oriented Financial Reporting Budgeting Balance Sheet Accounting Account Reconciliation General Ledger Financial Statements Financial Reporting Microsoft Excel Microsoft Office Spreadsheets Data Entry Pivot Tables Microsoft Excel Microsoft Office Spreadsheets Data Entry Pivot Tables
Accounting Analyst,Accounting Financial Analysis Microsoft Excel Budgeting Communication Skills Financial Reporting Planning Forecasting Research Writing Financial Analysis Accounting Budgeting Financial Reporting Financial Modeling
Accounting Clerk,Accounting Microsoft Excel Communication Skills Detail-Oriented Data Entry Microsoft Office Organizational Skills Writing Research Customer Billing Accounting Accounts Payable / Accounts Receivable Communication Skills Detail-Oriented Bookkeeping Accounting Accounts Payable / Accounts Receivable Bookkeeping Data Entry Account Reconciliation Accounting Accounts Payable / Accounts Receivable Bookkeeping Data Entry Account Reconciliation
Accounting Manager,Accounting Accounting Management Microsoft Excel Financial Reporting Financial Statements Communication Skills Generally Accepted Accounting Principles (GAAP) Budgeting General Ledger Account Reconciliation Budgeting Financial Management Decision Making Cash Management
Accounting Specialist,Accounting Microsoft Excel Communication Skills Research Detail-Oriented General Ledger Account Reconciliation Writing Microsoft Office Organizational Skills Accounting Accounts Payable / Accounts Receivable Communication Skills Detail-Oriented Bookkeeping Accounting Accounts Payable / Accounts Receivable Bookkeeping Data Entry Account Reconciliation Accounting Accounts Payable / Accounts Receivable Bookkeeping Data Entry Account Reconciliation
